,index,timestamp,ticker,ask_amount,ask_price,bid_price,bid_amount
0,29999,2025-10-02 23:59:57.290000,AVNT-USDT-SWAP@BINANCE,993.0,1.1309,1.1308,36.0
1,29998,2025-10-02 23:59:57.290000,SOL-USDT-SWAP@BINANCE,377.85,234.61,234.6,1356.54
2,29997,2025-10-02 23:59:57.290000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003054,71557.0
3,29996,2025-10-02 23:59:57.290000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003054,144660.0
4,29995,2025-10-02 23:59:57.290000,ROAM-USDT-SWAP@GATE-IO,35.0,0.09333,0.09293,50.0
5,29994,2025-10-02 23:59:57.290000,10000CAT-USDT-SWAP@KUCOIN,91.0,0.07804,0.07792,91.0
6,29988,2025-10-02 23:59:57.291000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003052,144660.0
7,29986,2025-10-02 23:59:57.291000,2Z-USDT-SWAP@KUCOIN,242.0,0.59832,0.597828,371.0
8,29987,2025-10-02 23:59:57.291000,RAY-USD-SWAP@KRAKEN,21.0,3.0646,3.0562,21.0
9,29990,2025-10-02 23:59:57.291000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003054,73103.0
10,29991,2025-10-02 23:59:57.291000,AKT-USD-SWAP@KRAKEN,191.0,1.0593,1.0547,63.0
11,29992,2025-10-02 23:59:57.291000,AKT-USD-SWAP@KRAKEN,191.0,1.0593,1.0543,192.0
12,29993,2025-10-02 23:59:57.291000,AIA-USDT-SWAP@BYBIT,67.0,1.4986,1.4971,124.0
13,29989,2025-10-02 23:59:57.291000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003052,71557.0
14,29985,2025-10-02 23:59:57.292000,XVG-USDT-SWAP@BINANCE,1902.0,0.00939,0.009371,822.0
15,29984,2025-10-02 23:59:57.292000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003052,71557.0
16,29983,2025-10-02 23:59:57.292000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003044,217820.0
17,29982,2025-10-02 23:59:57.292000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003043,144660.0
18,29981,2025-10-02 23:59:57.292000,RAY-USDT-SWAP@OKEX,105.0,3.0513,3.0512,1.0
19,29980,2025-10-02 23:59:57.292000,CFX-USDT-SWAP@OKEX,160.0,0.15045,0.15043,372.0
20,29975,2025-10-02 23:59:57.293000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01961,15075.0
21,29976,2025-10-02 23:59:57.293000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01958,45960.0
22,29978,2025-10-02 23:59:57.293000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003043,73103.0
23,29979,2025-10-02 23:59:57.293000,TRUTH-USDT-SWAP@BYBIT,3300.0,0.01319,0.013184,6790.0
24,29977,2025-10-02 23:59:57.293000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003055,71557.0
25,29965,2025-10-02 23:59:57.294000,SOON-USDT-SWAP@GATE-IO,11.0,0.4868,0.4865,18.0
26,29960,2025-10-02 23:59:57.294000,BARD-USDT-SWAP@OKEX,284.0,0.8787,0.8786,22.0
27,29961,2025-10-02 23:59:57.294000,ATOM-USDT-SWAP@HTX,21.0,4.3091,4.3076,21.0
28,29962,2025-10-02 23:59:57.294000,TURBO-USDT-SWAP@GATE-IO,30.0,0.003888,0.0038869,64.0
29,29963,2025-10-02 23:59:57.294000,TRUMP-USDT-SWAP@OKEX,18544.0,7.831,7.83,27194.0
30,29964,2025-10-02 23:59:57.294000,THETA-USDT-SWAP@OKEX,1.9,0.7404,0.74,19.7
31,29966,2025-10-02 23:59:57.294000,RVN-USDT-SWAP@OKEX,15373.0,0.01257,0.01256,4446.0
32,29968,2025-10-02 23:59:57.294000,MOCA-USD-SWAP@KRAKEN,1263.0,0.07704,0.07523,639.0
33,29974,2025-10-02 23:59:57.294000,LINK-USDT-SWAP@BYBIT,2.5,22.765,22.764,175.4
34,29973,2025-10-02 23:59:57.294000,XMR-USDT-SWAP@BINANCE,0.197,333.47,333.46,0.069
35,29972,2025-10-02 23:59:57.294000,ATOM-USDT-SWAP@OKEX,196.0,4.312,4.311,2405.0
36,29967,2025-10-02 23:59:57.294000,RAY-USD-SWAP@KRAKEN,21.0,3.0646,3.0551,40.0
37,29970,2025-10-02 23:59:57.294000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003045,362480.0
38,29969,2025-10-02 23:59:57.294000,MOCA-USD-SWAP@KRAKEN,1263.0,0.07704,0.07519,24000.0
39,29971,2025-10-02 23:59:57.294000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003045,290923.0
40,29959,2025-10-02 23:59:57.295000,RAYDIUM-USDT-SWAP@BYBIT,34.4,3.052,3.051,0.1
41,29958,2025-10-02 23:59:57.295000,SQD-USDT-SWAP@BINANCE,63.0,0.18461,0.1846,691.0
42,29957,2025-10-02 23:59:57.295000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003045,290923.0
43,29956,2025-10-02 23:59:57.295000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003056,71557.0
44,29955,2025-10-02 23:59:57.295000,TOWNS-USDC-SWAP@COINBASEINT,3115.0,0.019412,0.01939,656.0
45,29942,2025-10-02 23:59:57.296000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01962,15075.0
46,29943,2025-10-02 23:59:57.296000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01958,45960.0
47,29944,2025-10-02 23:59:57.296000,IP-USDT-SWAP@BITGET,23.0,9.2321,9.2289,26.7
48,29945,2025-10-02 23:59:57.296000,FF-USDT-SWAP@BITGET,500.0,0.1846,0.18457,1030.0
49,29946,2025-10-02 23:59:57.296000,ALPINE-USDT-SWAP@BITGET,52.0,1.4852,1.4851,35.0
50,29947,2025-10-02 23:59:57.296000,INIT-USD-SWAP@KRAKEN,301.0,0.3437,0.337,149.0
51,29941,2025-10-02 23:59:57.296000,TOWNS-USDC-SWAP@COINBASEINT,652.0,0.019411,0.01939,656.0
52,29949,2025-10-02 23:59:57.296000,INIT-USD-SWAP@KRAKEN,301.0,0.3437,0.3366,149.0
53,29950,2025-10-02 23:59:57.296000,INIT-USD-SWAP@KRAKEN,301.0,0.3437,0.3365,164.0
54,29951,2025-10-02 23:59:57.296000,MEW-USDT-SWAP@BINANCE,86038.0,0.002851,0.00285,296731.0
55,29952,2025-10-02 23:59:57.296000,HUMA-USDT-SWAP@BYBIT,2411.0,0.03489,0.03488,8566.0
56,29953,2025-10-02 23:59:57.296000,FORM-USDT-SWAP@BINANCE,83.6,1.2195,1.2192,100.1
57,29954,2025-10-02 23:59:57.296000,BTR-USDT-SWAP@BINANCE,75.0,0.08873,0.08871,404.0
58,29948,2025-10-02 23:59:57.296000,INIT-USD-SWAP@KRAKEN,301.0,0.3437,0.3365,618.0
59,29929,2025-10-02 23:59:57.297000,XRP-USD-SWAP@BITGET,14671.0,3.0415,3.04123,8972.0
60,29930,2025-10-02 23:59:57.297000,AEVO-USDT-SWAP@BITGET,1304.7,0.11497,0.11493,1250.9
61,29931,2025-10-02 23:59:57.297000,SXT-USD-SWAP@KRAKEN,335.0,0.0725,0.07213,712.0
62,29933,2025-10-02 23:59:57.297000,DRIFT-USD-SWAP@KRAKEN,70.0,0.89334,0.89025,51.0
63,29934,2025-10-02 23:59:57.297000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003044,144660.0
64,29932,2025-10-02 23:59:57.297000,SXT-USD-SWAP@KRAKEN,335.0,0.0725,0.07205,6994.0
65,29936,2025-10-02 23:59:57.297000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003046,73103.0
66,29935,2025-10-02 23:59:57.297000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003044,71557.0
67,29940,2025-10-02 23:59:57.297000,DRIFT-USDT-SWAP@BYBIT,585.0,0.8932,0.8931,178.0
68,29939,2025-10-02 23:59:57.297000,NOM-USDT-SWAP@BINANCE,12475.0,0.03874,0.03873,7077.0
69,29937,2025-10-02 23:59:57.297000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003046,144660.0
70,29938,2025-10-02 23:59:57.297000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003046,73103.0
71,29928,2025-10-02 23:59:57.298000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003044,73103.0
72,29927,2025-10-02 23:59:57.298000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003057,71557.0
73,29926,2025-10-02 23:59:57.298000,MYX-USDT-SWAP@BYBIT,25.0,10.3319,10.3226,2.0
74,29924,2025-10-02 23:59:57.298000,AVNT-USDT-SWAP@OKEX,824.0,1.1305,1.1304,2.0
75,29923,2025-10-02 23:59:57.298000,KAITO-USDT-SWAP@OKEX,93.0,1.3976,1.3975,688.0
76,29922,2025-10-02 23:59:57.298000,NFP-USDT-SWAP@BITGET,405.3,0.0629,0.06284,2872.6
77,29925,2025-10-02 23:59:57.298000,XPL-USDT-SWAP@BYBIT,3095.0,0.9335,0.9334,185.0
78,29921,2025-10-02 23:59:57.298214,IP-USDT-SWAP@PHEMEX,6.0,9.2383,9.2311,35.0
79,29915,2025-10-02 23:59:57.299000,TNSR-USDT-SWAP@GATE-IO,1067.0,0.1045,0.1043,582.0
80,29913,2025-10-02 23:59:57.299000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01963,15075.0
81,29914,2025-10-02 23:59:57.299000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01958,45960.0
82,29917,2025-10-02 23:59:57.299000,SXT-USD-SWAP@KRAKEN,335.0,0.0725,0.07205,6994.0
83,29918,2025-10-02 23:59:57.299000,PENGU-USD-SWAP@CRYPTO-COM,3600.0,0.031865,0.031851,100.0
84,29916,2025-10-02 23:59:57.299000,SXT-USD-SWAP@KRAKEN,335.0,0.0725,0.07206,712.0
85,29919,2025-10-02 23:59:57.299000,COINX-USDT-SWAP@GATE-IO,600.0,372.42,369.97,600.0
86,29920,2025-10-02 23:59:57.299000,SUSHI-USDT-SWAP@BINANCE,1010.0,0.7223,0.7222,410.0
87,29912,2025-10-02 23:59:57.299532,SQD-USDT-SWAP@PHEMEX,570.0,0.18481,0.1846,469.0
88,29911,2025-10-02 23:59:57.300000,DMC-USDT-SWAP@BYBIT,50000.0,0.003273,0.0032682,74800.0
89,29910,2025-10-02 23:59:57.300000,DRIFT-USDT-SWAP@BINANCE,62.0,0.8943,0.894,97.0
90,29909,2025-10-02 23:59:57.300000,KERNEL-USDT-SWAP@BINANCE,425.0,0.2013,0.2012,9942.0
91,29908,2025-10-02 23:59:57.300000,STO-USDT-SWAP@BINANCE,2799.0,0.09079,0.09073,498.0
92,29907,2025-10-02 23:59:57.300000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003047,217820.0
93,29906,2025-10-02 23:59:57.300000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003047,289377.0
94,29905,2025-10-02 23:59:57.300000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003047,71557.0
95,29904,2025-10-02 23:59:57.300000,DRIFT-USD-SWAP@KRAKEN,70.0,0.89334,0.89029,71.0
96,29903,2025-10-02 23:59:57.300000,SXT-USD-SWAP@CRYPTO-COM,10.0,0.07237,0.07231,130.0
97,29893,2025-10-02 23:59:57.301000,SXT-USD-SWAP@KRAKEN,1030.0,0.07265,0.07213,712.0
98,29895,2025-10-02 23:59:57.301000,SXT-USD-SWAP@KRAKEN,335.0,0.0725,0.07213,712.0
99,29896,2025-10-02 23:59:57.301000,SXT-USD-SWAP@KRAKEN,335.0,0.0725,0.07205,6994.0
100,29897,2025-10-02 23:59:57.301000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003048,217820.0
101,29894,2025-10-02 23:59:57.301000,SXT-USD-SWAP@KRAKEN,695.0,0.07265,0.07213,712.0
102,29899,2025-10-02 23:59:57.301000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003047,501743.0
103,29900,2025-10-02 23:59:57.301000,AVNT-USDT-SWAP@BYBIT,352.0,1.1311,1.131,52.0
104,29898,2025-10-02 23:59:57.301000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003047,931829.0
105,29901,2025-10-02 23:59:57.301000,STG-USDT-SWAP@BINANCE,9427.0,0.1976,0.1975,26672.0
106,29902,2025-10-02 23:59:57.301000,NEAR-USDT-SWAP@BINANCE,7782.0,2.968,2.967,12360.0
107,29892,2025-10-02 23:59:57.301290,BCH-USDT-SWAP@PHEMEX,0.293,593.99,593.98,0.293
108,29890,2025-10-02 23:59:57.302000,CFX-USDT-SWAP@OKEX,34.0,0.15044,0.15043,372.0
109,29889,2025-10-02 23:59:57.302000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01958,45960.0
110,29888,2025-10-02 23:59:57.302000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01959,15075.0
111,29887,2025-10-02 23:59:57.302000,W-USDT-SWAP@OKEX,2289.0,0.11219,0.11218,309.0
112,29891,2025-10-02 23:59:57.302000,RAY-USD-SWAP@CRYPTO-COM,1.0,3.0576,3.0555,1.0
113,29880,2025-10-02 23:59:57.303000,ZRO-USDT-SWAP@BITGET,392.0,2.288,2.287,432.0
114,29882,2025-10-02 23:59:57.303000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003048,71557.0
115,29881,2025-10-02 23:59:57.303000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003048,144660.0
116,29885,2025-10-02 23:59:57.303000,OG-USDT-SWAP@BINANCE,1.2,14.692,14.691,33.5
117,29886,2025-10-02 23:59:57.303000,MITO-USDT-SWAP@BYBIT,274.0,0.1544,0.15435,441.0
118,29883,2025-10-02 23:59:57.303000,DEGEN-USD-SWAP@KRAKEN,72072.0,0.003368,0.003048,289377.0
119,29884,2025-10-02 23:59:57.303000,XVG-USDT-SWAP@BYBIT,1000.0,0.009384,0.009362,5800.0
120,29873,2025-10-02 23:59:57.304000,VELVET-USDT-SWAP@HTX,3.0,0.18905,0.18647,2.0
121,29879,2025-10-02 23:59:57.304000,DOGE-USDT-SWAP@BYBIT,68818.0,0.26189,0.26188,23365.0
122,29878,2025-10-02 23:59:57.304000,OG-USDT-SWAP@BYBIT,0.4,14.685,14.6821,3.1
123,29877,2025-10-02 23:59:57.304000,THETA-USDT-SWAP@OKEX,4.6,0.7404,0.74,35.0
124,29876,2025-10-02 23:59:57.304000,BARD-USDT-SWAP@OKEX,284.0,0.8787,0.8786,20.0
125,29875,2025-10-02 23:59:57.304000,DOT-USD-SWAP@BITGET,735.0,4.312,4.31,194.0
126,29874,2025-10-02 23:59:57.304000,TRX-USD-SWAP@BITGET,113.0,0.34287,0.34271,113.0
127,29867,2025-10-02 23:59:57.305000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.0196,15075.0
128,29866,2025-10-02 23:59:57.305000,MOCA-USDT-SWAP@BITGET,6270.0,0.07653,0.07646,4392.0
129,29868,2025-10-02 23:59:57.305000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01958,45960.0
130,29871,2025-10-02 23:59:57.305000,SOPH-USDT-SWAP@BINANCE,2313.0,0.029326,0.029321,563.0
131,29870,2025-10-02 23:59:57.305000,TRX-USD-SWAP@KRAKEN,2591.0,0.342999,0.342643,2591.0
132,29872,2025-10-02 23:59:57.305000,FLOCK-USDT-SWAP@BYBIT,348.0,0.28591,0.2859,359.0
133,29869,2025-10-02 23:59:57.305000,ATOM-USDT-SWAP@HTX,21.0,4.3094,4.3077,26.0
134,29865,2025-10-02 23:59:57.305111,NODE-USDT-SWAP@PHEMEX,1004.5,0.06295,0.0629,990.3
135,29864,2025-10-02 23:59:57.306000,AVNT-USD-SWAP@CRYPTO-COM,1.0,1.13278,1.13201,1.0
136,29863,2025-10-02 23:59:57.306000,TOKEN-USD-SWAP@KRAKEN,2089.0,0.01315,0.01311,10501.0
137,29862,2025-10-02 23:59:57.306000,LISTA-USDT-SWAP@BITGET,3054.0,0.316,0.3157,542.0
138,29855,2025-10-02 23:59:57.307000,SOON-USDT-SWAP@HTX,9.0,0.48743,0.48658,14.0
139,29856,2025-10-02 23:59:57.307000,HANA-USDT-SWAP@BITGET,31409.0,0.04426,0.04421,20000.0
140,29857,2025-10-02 23:59:57.307000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01961,15075.0
141,29859,2025-10-02 23:59:57.307000,HYPER-USDT-SWAP@BITGET,18135.0,0.2861,0.2859,2000.0
142,29860,2025-10-02 23:59:57.307000,HEMI-USDT-SWAP@BITGET,572.0,0.091311,0.091291,572.0
143,29861,2025-10-02 23:59:57.307000,AVNT-USDT-SWAP@GATE-IO,15.0,1.1311,1.131,1.0
144,29858,2025-10-02 23:59:57.307000,PIPPIN-USD-SWAP@KRAKEN,15411.0,0.02005,0.01958,45960.0
145,29848,2025-10-02 23:59:57.308000,BANANAS31-USDT-SWAP@HTX,68.0,0.005425,0.005355,275.0
146,29847,2025-10-02 23:59:57.308000,LINK-USDC-SWAP@COINBASEINT,31.32,22.799,22.797,16.66
147,29849,2025-10-02 23:59:57.308000,TRX-USD-SWAP@KRAKEN,666.0,0.342982,0.342643,2591.0
148,29853,2025-10-02 23:59:57.308000,MITO-USDT-SWAP@BINANCE,635.0,0.15423,0.15421,562.0
149,29851,2025-10-02 23:59:57.308000,SKYAI-USDT-SWAP@BINANCE,2494.0,0.029,0.02898,549.0
150,29852,2025-10-02 23:59:57.308000,RVN-USDT-SWAP@BINANCE,692943.0,0.01257,0.01256,139138.0
151,29854,2025-10-02 23:59:57.308000,CFX-USDT-SWAP@BYBIT,2327.0,0.15046,0.15045,1215.0
